Lep Name,Lep Url
Aristotelia psoraleae,None
Aristotelia salicifungiella,None
Aristotelia staticella,None
Arla diversella,None
Aroga eldorada,None
Aroga trilineella,None
Athrips medjella,None
Athrips rancidella,None
Athrips tetrapunctella,https://upload.wikimedia.org/wikipedia/commons/b/b3/Athrips_tetrapunctella.JPG
Athrips thymifoliella,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Athrips_thymifoliella.jpg/270px-Athrips_thymifoliella.jpg
Brachmia deltopis,None
Brachmia insulsa,None
Bryotropha plebeiella,None
Capidentalia salicicolella,None
Caryocolum cassella,None
Caryocolum interalbicella,None
Caryocolum mucronatella,None
Caryocolum schleichi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Caryocolum_schleichi.jpg/309px-Caryocolum_schleichi.jpg
Caryocolum tischeriella,None
Chionodes gilvomaculella,None
Chionodes hibiscella,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Chionodes_hibiscella_P1600032a.jpg/151px-Chionodes_hibiscella_P1600032a.jpg
Chionodes ignorantella,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Chionodes_ignorantella.jpg/286px-Chionodes_ignorantella.jpg
Chionodes luteogeminata,None
Chionodes mariona,None
Chionodes occidentella,None
Chionodes pereyra,None
Chionodes petalumensis,None
Chionodes praeclarella,None
Chionodes raspyon,None
Chionodes sp. 36,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Chionodes_sp._%2839583986630%29.jpg/240px-Chionodes_sp._%2839583986630%29.jpg
Chionodes sp. B,None
Chionodes terminimaculella,None
Chionodes tragicella,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Chionodes_tragicella.jpg/236px-Chionodes_tragicella.jpg
Chrysoesthia drurella,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Chrysoesthia_drurella_%28Edkins%29.jpg/271px-Chrysoesthia_drurella_%28Edkins%29.jpg
Chrysoesthia eppelsheimi,None
Coleotechnites atrupictella,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Coleotechnites_atrupictella.JPG/269px-Coleotechnites_atrupictella.JPG
Coleotechnites piceaella,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Coleotechnites_piceaella_1178012.jpg/274px-Coleotechnites_piceaella_1178012.jpg
Dichomeris adelocentra,None
Dichomeris antisticta,None
Dichomeris atomogypsa,None
Dichomeris autometra,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Dichomeris_autometra_%284679411298%29.jpg/293px-Dichomeris_autometra_%284679411298%29.jpg
Dichomeris barbella,None
Dichomeris baxa,None
Dichomeris capnites,None
Dichomeris costarufoella,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Dichomeris_costarufoella_%2815462040434%29.jpg/163px-Dichomeris_costarufoella_%2815462040434%29.jpg
Dichomeris crepitatrix,None
Dichomeris cuspis,None
Dichomeris delotella,None
Dichomeris euprepes,None
Dichomeris exallacta,None
Dichomeris fasciella,None
Dichomeris fuscalis,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/A38-20150518-182_%2822727026412%29.jpg/268px-A38-20150518-182_%2822727026412%29.jpg
Dichomeris georgiella,None
Dichomeris granivora,None
Dichomeris hastata,None
Dichomeris helianthemi,None
Dichomeris juniperella,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Dichomeris_juniperella-Salzburg%2C_Flachgau%2C_Thalgau-E-MK-21118a.jpg/269px-Dichomeris_juniperella-Salzburg%2C_Flachgau%2C_Thalgau-E-MK-21118a.jpg
Dichomeris lespedezae,None
Dichomeris marginella,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Dichomeris.marginella.7461.jpg/180px-Dichomeris.marginella.7461.jpg
Dichomeris nr. aenigmatica,None
Dichomeris nr. hemiclina,None
Dichomeris ochripalpella,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Dichomeris_ochripalpella.jpg/160px-Dichomeris_ochripalpella.jpg
Dichomeris ostracodes,None
Dichomeris petalodes,None
Dichomeris piperata,None
Dichomeris quercicola,None
